enunciados	F01	F02	pausa1	F03	F04	pausa2	F05	F06	pausa3	F07	F08	pausa4	F09	F010	pausa5	F011	F012	pausa6	F013	F014	pausa7	F015	F016	pausa8
ENUNCIADO35	239.5	252.1	0	248.6	254.6	0	249.7	252.1	0	261.7	252.9	0	256.5	248.5	0	251.7	255.9	0	279	266	0			
ENUNCIADO36	295.9	270.5	0.33	287.1	271.8	0	286.7	249.9	0.89	266.8	237.3	0	255.4	242.2	0	232	205.2	0.79						
ENUNCIADO37	265.6	292.9	0.9	280.3	294.9	0	290.7	326	0	294	331.2	0	310.6	333.7	0	315.3	355.4	0						
ENUNCIADO38	196.9	236.6	0	222.1	257.8	0.32	246.9	250.7	0	222.9	258.1	0	246	270	1.31									
ENUNCIADO39	305.3	269.9	0	281.3	254.4	0	234.6	223	0	220.3	215	0												
ENUNCIADO40	264.7	237.1	0	250.6	232.3	0	228.3	196.6	0.35	207.3	177.6	0	200.9	164.7	1.26									
ENUNCIADO41	214.9	249	0	226.2	249.3	0	246.6	274.6	0															
ENUNCIADO42	193.1	184.2	0	160.8	142	0	140.8	122.7	0	113.5	129.5	0	132.3	118.1	0	145.7	144.8	0	189.1	173.2	0			
ENUNCIADO43	190	176.8	0	206.7	186.6	0	253.6	267.6	0	227.1	250.3	0	204.4	201.7	0	163.3	163.9	0						
ENUNCIADO44	281.9	289	0	321.1	305	0	321.1	338.9	0	334.6	339.2	0	307.1	318.8	0	284.1	279.1	0						
ENUNCIADO45	268.6	289.1	0	293	273.5	0	292.6	283.4	0	311.3	307.8	0	293.2	306.9	0									
ENUNCIADO46	265.5	258	0	245.9	242	0	247.8	230.8	0	210.5	192.4	0.55	201	188.5	0									
ENUNCIADO47	206.9	195.9	0	234.5	243.6	0.42	280.1	279.1	0	251	247.2	0	184.1	188.2	0									
ENUNCIADO48	213.3	190.6	0	180.8	157.4	0	150.7	169.3	0	209.9	206	0.8												
ENUNCIADO49	243.8	269.7	0	275.8	270.3	0	296.7	290.1	0	319.5	295.2	0	295.1	295.9	0	278.5	260.7	0	231.2	238.9	0			
ENUNCIADO50	270.6	255.4	0	245.5	239.5	0	255.7	231.1	0															
ENUNCIADO51	258.2	234.7	0	243.1	206.4	0	222.1	211	0	218.6	197.9	0.35	208.8	179.1	0	179	159.4	0.56						
ENUNCIADO52	165	181.5	0	222.9	242.1	0																		
ENUNCIADO53	203.2	207.9	0	190.4	213.9	0	206	189.7	0.88	199.9	174.9	0												
ENUNCIADO54	258.4	248.1	0	193.3	159.4	1.12																		
ENUNCIADO55	246.9	223.2	0	245	209.5	0	221.7	207	0	212.1	173.3	0	199	195	0.2	201.7	172.1	0						
ENUNCIADO56	229.5	240.5	0.52	224.2	215.8	0	224.9	214.9	0	226.4	230.4	0.97												
ENUNCIADO57	285.8	257	0	261.9	257.8	0	233.5	230.9	0	220.7	198.3	0												
ENUNCIADO58	223.1	190.8	0	173.2	164	0																		
ENUNCIADO59	234.3	236.4	0	277.3	274.6	0	297	324.5	0	310.7	297.6	0	257.1	277.5	0	195.8	216.7	0						
ENUNCIADO60	293.5	274.5	0	287.2	264.2	0	257.4	233	0	247.3	234.4	0	237	227.7	1.34									
ENUNCIADO61	263	271.7	0	332	345.8	0	321.5	312.4	0	253.5	246.3	0												
ENUNCIADO62	192.1	175.3	0	184.8	161.3	0.44	171.6	150.9	0.89	165.2	158.6	0.84	172.9	138.5	0	154.1	136.1	0						
ENUNCIADO63	173.6	196.7	0	195.7	200.4	0	214.7	224.3	0	195.3	236.2	0	215.9	227.9	1.06									
ENUNCIADO64	282.9	292.6	0.59	303.8	323.8	0	293.5	327.7	0.26	334.4	341.8	0.6	321.7	353.2	0.52									
ENUNCIADO65	278.7	267	0	246	252.8	0																		
ENUNCIADO66	276.4	258.1	0	217.4	229.5	0.82	212.6	201.8	0	270.1	248.6	0												
ENUNCIADO67	247.4	272.7	0	266.1	254.8	0.6	245.5	243.3	0	231.6	234.2	0.52												
ENUNCIADO68	167.9	161.8	0.57	158.4	162.4	0	156.8	153.1	0	162.7	162.5	0	180.5	188.7	0	162.7	174	0	171.1	163	0	177.7	181.8	0
ENUNCIADO69	166.9	178.8	0	175.8	154.5	0	179.4	154	0	164.8	164.8	0	151.3	171.4	0	169.2	144	0						
ENUNCIADO70	226.5	227.3	0	205.3	232.7	0	218.9	198.4	0.12	228.3	210.9	0	202.6	229.7	0	199.7	204.2	0	226.7	223.5	0	213.7	224.9	1.06
ENUNCIADO71	227.7	222.6	0.28	212.9	185.8	0.62	203.8	178.5	0	181.1	167.6	0												
ENUNCIADO72	235.7	274.9	0.51	282	302.5	0	297.5	335.5	0	341.2	349.6	0.87												
ENUNCIADO73	289.9	278.5	0	287.5	267.5	0.36	299	260.4	0	279.5	257.3	0.39	258.6	255.4	0									
ENUNCIADO74	174.8	172.8	0	202.1	179	0.35	189	165.8	0	156.2	177.5	0.59												
ENUNCIADO75	239	275.8	0.66	371	390	0.71																		
ENUNCIADO76	187.1	172.8	0	138	144.2	0	136.9	144.6	0.52	183.2	167.8	0												
ENUNCIADO77	219.8	189.1	0	206.8	169.5	0	185.1	177.2	0.4	198.5	165.5	0	201.6	174.6	0	196.9	167.9	0	182.4	169.7	0			
ENUNCIADO78	254.2	272.1	0	202.6	219.1	0	183.8	176.4	0.65	215.2	220.2	0	252.2	248.2	0									
ENUNCIADO79	152	153.5	0	152.7	139.7	0																		
ENUNCIADO80	281.3	301.5	0	318.2	296.3	0	318.5	309.3	0.93															
ENUNCIADO81	182.6	182.2	0	190.9	185.5	0	213.2	214.9	0.21	206.7	185.1	0.2	177.7	187	0									
ENUNCIADO82	244.3	219.7	0	220.5	202.2	0	194.5	190.3	0.3	180.3	138.9	0												
ENUNCIADO83	221.3	241.3	0	296.9	283.9	0	290.9	304.5	0	227.9	230.5	0												
ENUNCIADO84	271.9	234.4	0	254.9	233.1	0	235.4	213.1	0.35	228.2	198.2	0.35	229.8	200.8	0									
ENUNCIADO85	163	168.9	0	148.7	190.3	0	174	186	0	181	204.4	0.67	191.1	220.1	0.71									
ENUNCIADO86	194.5	217.2	0	266.4	295.2	0																		
ENUNCIADO87	250.6	215.9	0	216.4	193.2	0	206.3	185.7	0	182.8	164.5	1.29												
ENUNCIADO88	177.3	197	0.69	178.9	201.1	0	184.7	200.3	0	194.2	181.1	0	199	204.5	0	203.9	200.7	0						
ENUNCIADO89	279	253.6	0	188.5	211	0	193.6	169.6	0	210.8	221.8	0	258.3	283.4	0.6									
ENUNCIADO90	298.9	267.8	0	265.3	255.6	0	254.4	237.7	0.41	246.2	235.6	0.37	215	196.8	0	217.6	180.4	0						
ENUNCIADO91	303.6	293.5	0	292	282.3	0	293.1	255.3	0	280.7	243.7	0	280.4	246	0.99									
ENUNCIADO92	223.9	202.9	0	199.5	193.9	0	182.2	178.1	0															
ENUNCIADO93	237.4	240.3	0	260.2	262.6	0	255.6	279.7	0	277.5	282.7	0	273.3	276.4	0	281.5	310.4	0						
ENUNCIADO94	304.2	277.4	0	339	327.1	0.85	347.6	325.8	0	312.8	290.8	0.68												
ENUNCIADO95	163.9	155.1	0	153.9	138.5	0	143.5	123.2	0	136.6	127.4	0	126.5	112.3	0.21									
ENUNCIADO96	271.5	276	0	309.4	325.2	0.83	324.2	336.2	0	332.8	370.1	0	384.8	388.9	0									
ENUNCIADO97	194	215.9	0	192.4	213	0.63	206.6	233.5	0	234.9	238.5	0	236.6	243	0	241.2	278.5	0	243.1	278.1	0.92			
ENUNCIADO98	288.6	285.8	0.86	285.6	281.3	0	282.9	253.5	0															
ENUNCIADO99	273.8	254.1	0	241.8	218.1	0	215.9	199.8	1.09															
ENUNCIADO100	268	246.3	0	342.8	340.8	0.86	257.2	272.6	0.86															
ENUNCIADO101	235.5	217.7	0	232.1	200.7	0	217.9	202.6	0.49	203.2	179.9	0	185.9	160.3	0									
ENUNCIADO102	249.9	221.6	0	257.3	221.7	0	236.3	226.2	0.7	223.9	206.1	0	228.8	200.6	0	220.8	179.2	0	199.6	185.6	0	201.8	166.4	0.97
ENUNCIADO103	223.3	233.7	0.21	310.4	339.9	0																		
ENUNCIADO104	254	235.6	0	259.2	247.8	0																		
ENUNCIADO105	282.5	257.8	0	271.3	243.7	0	258.2	218.4	0	226.8	199.2	0.82	200.9	173.9	0.48									
ENUNCIADO106	292.9	287.2	0.31	256.7	230.4	0	227.3	204.3	0	260.9	237.3	0	294.7	287.5	1.26									
ENUNCIADO107	275.7	263.9	0	267.8	284.4	0	262.9	277.2	0.71	271.1	254.8	0	256.1	246.3	0	265.8	261.6	0	236.5	240.6	0			
ENUNCIADO108	278.5	239	0.18	262.5	254.3	0	262	223	0															
ENUNCIADO109	200.9	211.3	0.81	212.9	198.7	0.12	189.3	215.5	0	210.2	210.5	0	213.1	208.7	0	189	201.4	0.51	209.4	183.5	0	217	205.3	0.21
ENUNCIADO110	142	135.8	0	142.9	123.3	0	113.1	135.9	0	113.9	140.3	0												
ENUNCIADO111	295.7	269.8	0	257	225.9	0	228.3	212	0															
ENUNCIADO112	285.3	246.7	0	263.7	243.3	0	266	246.1	0	266	235.2	0	228.1	223.4	0.26									
ENUNCIADO113	283.5	243.4	0.46	276.4	241.6	0.62	253.2	219.1	0.82	226.8	205	0.18	210.5	179.9	0									
ENUNCIADO114	190.8	217.5	0	234	248	0	230.5	261.6	0.44	265.1	298.2	0												
ENUNCIADO115	222.7	197	0	209.4	203.9	0	181.1	156.9	0.12	198	192.1	0	220.2	232.6	0									
ENUNCIADO116	304.2	264.8	0	273.7	250.5	0.69	259.5	219.1	0															
ENUNCIADO117	163.8	146.8	0.18	164.3	159.5	0	146.6	105.1	0	139.3	112.3	0												
ENUNCIADO118	231.5	203.4	0	225.4	208.8	0	203	179.2	0	184.7	182.3	0	168.5	164.7	0	177.1	145.7	0.55						
ENUNCIADO119	275.9	237.8	0	220.8	215.8	0	200.6	176.5	0															
ENUNCIADO120	245.9	221.3	0	209.6	188.2	0.24	162.1	149.2	0															
ENUNCIADO121	184.6	161.5	0	186.9	146.5	0.24	176.2	144.1	0	164.9	145.5	0	147.3	143.1	0.1	152.9	114.3	0	156.9	130.4	1.08			
ENUNCIADO122	165.4	150	0	198.3	203.3	0	205.1	215.2	0.29	173.3	189.1	0	160.3	156.1	0									
ENUNCIADO123	249.5	223.2	0	233.8	222.2	0.44	226.9	213.7	0	235.4	212.3	0.56	218.5	213.6	0	216.3	201.8	0						
ENUNCIADO124	204.2	204.9	0	227.7	253.5	0	279.5	256.9	0	225.1	230.9	0	211.3	195.2	0.25									
ENUNCIADO125	204.9	218.2	0	221.2	203.4	0	196.4	203.2	0	189.1	205.1	0	192.2	192.7	0	189.9	177.4	0.59	180.3	190.7	0	180.8	203.1	1.32
ENUNCIADO126	264.6	285.6	0	248.5	257.5	0																		
ENUNCIADO127	305.4	275.2	0	292.9	259.7	0.12	266.6	231.9	0	243	224.2	0	239.2	217.4	0.37									
ENUNCIADO128	208.1	221.2	0.66	207.2	241.2	0	227.6	234.9	0	232.2	249	0	230.8	260.3	0	232.4	270.8	0	249.3	260.2	0	241.3	267	0
ENUNCIADO129	228.1	227.6	0	193.4	181.9	0																		
ENUNCIADO130	289.6	262.1	0	232.8	223	0	236.2	251.8	0	286.1	272.9	0												
ENUNCIADO131	178.3	197.9	0	194.5	208.4	0	219.4	230	0	223.6	263.1	0												
ENUNCIADO132	221.4	245.5	0	239.2	254.7	0.74	264.8	277.4	0	260.6	276.3	0	265.9	285.5	0	282.1	312.1	0.36	308.1	318.6	1.24			
ENUNCIADO133	275.9	303.1	0	319.1	297.4	0	345.5	331.2	0.94															
ENUNCIADO134	224.7	245.2	0	248.5	264.8	0	293.3	328.2	0.94															
ENUNCIADO135	168.3	153.7	0	164.5	154.4	0.43	192	165	0	189.6	174.8	0	176.1	178.2	0	144.6	172.5	0						
ENUNCIADO136	278.7	249.8	0	186.1	165.2	1.24																		
ENUNCIADO137	180.3	175.1	0.17	181.1	169	0	192.9	167.5	0															
ENUNCIADO138	298.4	307.1	0	314.7	330.4	0.37	371.9	380.7	0	415	397.9	0.44	364.8	369	0	326.4	350.5	0	294.4	317.9	0			
ENUNCIADO139	240.1	206.7	0	191.9	171.3	0	169.7	157.2	1.31															
ENUNCIADO140	300.3	278.3	0	250.5	251.4	0	235.3	248.1	0	288.7	309.2	0												
ENUNCIADO141	226.2	237.9	0	219.4	240	0																		
ENUNCIADO142	154.3	164.4	0	172	189.5	0	197.7	205.8	0	216.1	223.4	0	234	250.8	0.3									
ENUNCIADO143	245	231	0	259	225.6	0	261.2	228.3	0	248.9	234.4	0	251.6	241	0	241.8	224.3	0	245.8	227.7	0			
ENUNCIADO144	176.3	176.1	0	197.6	208.7	0	243.6	234	0.89	199.7	182.9	0	168	156.7	0									
ENUNCIADO145	228.8	226.6	0	219.1	233.8	0	214.4	202.3	0	204	228.8	0	223.7	197.1	0									
ENUNCIADO146	175	200.9	0	194.9	201.5	0	225	236	0															
ENUNCIADO147	228.3	235.2	0	248.1	220.8	0	233.2	214.7	0	239.7	239.1	0	214.8	236.9	0									
ENUNCIADO148	171.7	173	0	180.7	166.5	0	190.1	189.2	0	196.7	200.4	0.78	184.1	176	0.85	148.4	175.5	0	158.5	161.1	0			
ENUNCIADO149	191.3	150.7	0	167.8	141.8	0	162.3	126.9	0	156.6	119.1	0	151.8	119.1	0.73	130.4	118.4	0	140.4	105	0			
ENUNCIADO150	151.1	152.3	0	148.5	140	0																		
